"ft_barack_obama_pre","ft_barack_obama_post","ft_mitt_romney_pre","ft_mitt_romney_post","ft_joe_biden_pre","ft_joe_biden_post","ft_paul_ryan_pre","ft_paul_ryan_post","ft_gay"
100,100,40,0,50,85,0,0,50
15,70,70,40,50,50,50,50,60
100,NA,0,NA,100,NA,0,NA,NA
85,40,0,50,50,70,NA,70,50
50,0,85,70,50,10,85,NA,50
70,NA,15,NA,70,NA,0,NA,NA
70,70,15,30,NA,NA,40,50,50
85,85,15,50,85,100,50,50,85
85,85,60,60,NA,NA,50,60,60
50,60,60,85,50,60,50,50,85
100,85,60,40,85,70,70,50,40
85,100,15,0,70,85,15,0,70
100,100,40,40,NA,70,NA,NA,NA
70,85,70,40,50,70,50,40,100
70,85,30,30,50,60,30,40,NA
50,50,50,85,50,50,50,70,50
0,30,70,70,30,25,70,90,70
85,85,50,60,70,70,50,NA,NA
100,100,40,50,100,100,40,50,50
60,40,60,60,40,30,60,60,40
40,30,85,70,50,0,100,85,50
70,85,40,50,50,50,30,30,50
40,15,60,30,15,40,85,70,15
85,60,30,15,60,50,50,60,50
0,15,70,85,50,30,50,50,0
85,100,40,15,70,70,15,40,40
60,30,85,85,50,30,100,100,40
100,100,0,0,90,90,50,15,90
70,100,50,0,50,70,15,0,60
100,100,15,50,85,100,0,15,50
70,85,0,30,40,0,NA,NA,70
30,30,85,85,50,15,60,85,50
30,40,70,70,30,60,85,85,60
40,100,50,50,NA,50,NA,50,50
60,50,60,50,50,30,60,30,50
60,40,40,30,50,40,50,50,15
70,85,15,15,60,60,50,40,85
30,NA,50,NA,50,NA,50,NA,NA
85,70,0,0,70,85,0,70,0
40,40,60,60,NA,50,60,60,50
50,70,50,50,50,50,NA,50,50
15,50,60,50,15,50,60,70,15
75,70,60,30,50,70,60,60,50
0,50,0,50,0,50,NA,NA,0
70,50,50,50,50,50,50,60,50
0,0,85,70,25,30,80,85,85
100,100,0,50,50,40,NA,50,85
50,60,60,70,50,50,60,40,70
70,75,5,0,55,75,0,0,75
60,60,40,40,50,50,50,50,50
0,0,100,85,15,0,NA,50,0
60,70,50,60,50,50,25,30,50
15,30,85,85,15,30,70,85,50
15,15,85,60,15,30,60,85,50
60,40,60,60,30,30,50,60,60
50,50,85,60,50,50,NA,50,50
90,60,0,30,85,70,0,40,50
30,30,85,70,40,40,NA,70,60
70,70,60,60,50,60,70,60,50
60,60,60,88,50,60,50,85,30
70,70,15,15,50,70,50,40,70
50,60,50,50,NA,50,NA,50,50
70,NA,40,NA,60,NA,50,NA,NA
60,30,70,85,40,30,85,85,50
40,40,60,70,50,50,50,60,40
60,70,0,15,40,30,50,50,60
100,100,50,50,70,85,50,50,50
15,15,70,85,15,15,85,85,85
85,100,40,40,85,100,50,70,100
85,85,15,40,85,85,0,30,85
40,60,70,70,30,30,70,60,50
85,85,50,40,85,50,50,50,50
NA,15,NA,70,NA,30,NA,50,50
0,0,70,85,0,0,50,70,50
85,100,50,0,70,85,40,50,85
85,100,30,30,NA,50,30,30,100
90,90,40,60,85,85,40,60,85
85,70,50,50,50,50,50,NA,50
70,70,40,40,60,60,40,45,60
30,30,60,85,NA,40,NA,50,100
30,NA,70,NA,15,NA,40,NA,NA
100,85,0,50,60,70,60,50,50
70,100,NA,0,NA,50,30,50,50
70,50,50,50,50,NA,NA,NA,50
85,100,30,60,50,0,15,50,15
85,85,0,0,70,70,0,15,100
0,0,50,15,0,0,60,0,70
70,60,60,40,60,60,70,30,50
40,50,60,60,15,15,60,60,50
100,100,40,30,70,100,0,15,35
70,60,70,70,40,40,85,70,60
85,85,30,15,60,60,15,0,70
60,60,70,70,50,65,60,67,30
50,50,50,30,NA,50,NA,NA,50
85,100,15,15,85,100,NA,4,0
70,NA,15,NA,60,NA,0,NA,NA
70,70,40,50,50,70,30,40,70
40,60,40,40,40,50,NA,50,70
0,30,70,70,15,15,70,70,50
70,85,15,15,60,65,50,15,85
50,60,50,40,50,60,50,40,50
85,85,50,15,70,70,60,50,50
70,85,15,30,70,40,50,50,50
30,30,70,60,30,15,85,85,100
0,NA,85,NA,0,NA,60,NA,NA
0,0,30,60,15,15,30,50,50
85,70,15,15,70,70,0,0,15
15,50,70,100,NA,70,60,NA,40
40,NA,30,NA,50,NA,50,NA,NA
70,90,40,10,85,85,15,40,50
40,30,60,70,40,30,50,60,85
85,85,30,30,70,70,15,15,70
0,0,85,70,15,15,50,NA,70
40,50,70,70,30,40,50,60,50
60,85,40,60,40,85,5,50,70
100,100,0,0,85,100,0,0,50
100,100,15,40,85,70,15,50,50
50,70,30,30,50,70,30,30,40
40,30,85,100,0,0,70,85,60
70,40,30,30,60,50,NA,50,0
0,0,60,85,NA,50,NA,50,0
30,40,85,70,0,30,85,70,50
70,85,40,30,50,60,50,50,70
70,NA,50,NA,40,NA,50,NA,NA
70,85,0,50,40,70,NA,50,70
85,85,0,15,70,85,15,15,60
85,100,0,50,70,100,15,60,50
60,60,30,40,50,15,30,30,70
85,85,60,60,50,70,50,50,70
85,70,15,0,70,70,0,30,85
85,100,50,30,NA,50,40,50,50
100,100,15,50,NA,100,NA,50,70
50,60,50,40,30,30,50,50,100
50,60,15,15,40,60,NA,15,50
85,85,30,15,85,70,15,15,100
30,40,50,70,15,30,50,60,50
20,15,60,70,30,50,50,70,40
70,70,50,50,50,60,NA,50,50
70,NA,60,NA,50,NA,70,NA,NA
85,85,0,0,100,85,0,0,60
100,100,0,0,85,85,0,0,85
85,85,30,30,70,70,0,50,50
40,65,70,85,50,60,60,60,50
60,70,60,60,70,85,50,60,50
85,100,50,0,60,NA,NA,NA,15
85,85,15,15,60,85,50,50,70
70,85,40,40,50,60,50,60,50
15,15,60,70,NA,50,NA,50,15
60,70,15,40,50,60,30,60,50
70,78,15,20,85,85,15,10,50
40,40,70,60,30,30,NA,50,85
0,0,30,50,0,0,NA,NA,30
85,85,15,30,85,75,15,0,70
70,70,50,40,60,60,15,30,70
100,85,0,15,85,85,0,0,60
0,0,60,60,0,0,60,60,0
85,70,0,30,50,50,50,50,50
30,40,70,60,50,60,60,50,85
85,85,40,40,70,60,50,40,60
15,30,70,70,30,30,85,85,60
30,NA,50,NA,30,NA,50,NA,NA
15,0,70,85,15,15,NA,50,50
60,70,70,40,70,70,50,60,50
60,60,70,60,60,50,50,70,50
50,NA,50,NA,60,NA,50,NA,NA
0,15,70,60,0,0,60,60,70
60,NA,30,NA,50,NA,50,NA,NA
60,60,70,70,15,30,40,60,50
15,30,70,70,15,40,70,60,60
15,40,70,60,0,15,60,60,50
0,0,85,85,0,0,85,70,50
60,40,60,60,60,60,55,60,40
30,60,NA,40,NA,50,NA,50,50
0,30,85,85,50,60,100,70,70
100,100,30,0,85,85,NA,30,85
85,70,50,40,85,70,50,40,50
85,85,50,40,70,85,50,NA,50
100,85,50,50,70,85,70,70,50
70,85,50,30,NA,60,NA,NA,0
30,40,60,50,50,40,70,70,50
85,100,60,60,NA,60,NA,50,85
70,70,0,0,60,70,30,40,60
0,40,100,100,0,30,100,50,30
100,100,50,50,70,0,NA,50,50
100,100,0,40,100,100,0,40,90
70,NA,60,NA,60,NA,50,NA,NA
30,40,70,60,NA,50,NA,50,30
100,100,15,0,85,100,0,30,100
50,85,0,15,15,30,0,50,85
85,100,50,15,50,85,70,50,70
70,85,60,30,40,85,NA,0,30
85,100,70,85,50,85,NA,85,50
100,100,0,0,100,100,0,0,100
100,100,0,0,NA,100,NA,NA,0
70,70,15,15,85,85,15,40,60
50,70,NA,50,NA,40,NA,NA,NA
80,NA,NA,NA,70,NA,NA,NA,NA
50,7,70,4,60,5,50,NA,2
100,100,0,0,70,85,0,50,70
60,85,70,60,85,85,50,40,50
50,40,85,100,15,40,70,85,50
0,50,0,50,0,0,NA,0,0
100,85,50,85,85,85,NA,NA,70
70,70,40,40,40,40,50,40,60
15,30,70,60,0,15,70,60,50
70,60,60,50,50,60,NA,NA,0
60,30,0,30,40,30,NA,50,0
85,70,70,85,70,70,70,60,0
30,30,85,85,32,40,85,60,50
60,60,40,40,60,60,50,50,50
60,85,30,30,60,70,30,30,50
85,85,15,30,70,70,0,15,50
85,85,40,15,65,70,15,0,50
90,85,40,30,50,70,NA,40,50
70,70,70,60,60,60,40,40,70
60,85,60,40,40,60,70,60,40
87,85,0,17,95,100,25,10,90
85,70,30,30,50,60,50,40,50
85,85,15,12,85,60,0,30,50
70,70,40,50,70,75,30,30,50
30,30,85,85,15,30,70,70,50
100,100,0,0,85,85,0,50,50
0,0,85,85,0,0,85,85,50
100,100,0,0,85,85,15,30,70
70,70,50,60,60,50,50,50,30
85,40,40,40,50,50,50,40,50
40,30,85,70,50,40,85,85,70
70,85,30,15,60,85,50,40,30
100,100,0,0,100,100,0,0,85
40,85,100,30,40,15,100,60,0
60,70,40,40,50,70,40,50,85
85,85,50,50,85,85,50,50,60
30,30,15,60,15,50,NA,50,50
15,40,50,60,40,70,50,50,15
0,0,85,100,50,50,100,100,70
60,60,30,30,85,70,30,40,50
100,100,0,50,85,85,NA,NA,70
70,NA,40,NA,60,NA,50,NA,NA
85,90,40,50,50,40,50,30,50
100,100,0,0,15,15,15,15,50
100,100,NA,100,NA,NA,NA,NA,0
100,100,0,0,100,100,NA,NA,100
100,100,0,0,85,100,0,0,70
100,100,0,15,85,100,NA,15,40
0,0,40,60,40,15,70,100,100
85,70,50,50,70,70,40,40,15
50,15,70,85,60,50,85,100,15
70,85,50,15,60,85,50,50,60
50,15,0,50,30,40,60,60,15
70,85,18,30,50,70,20,60,100
15,40,85,85,50,60,90,85,15
30,40,40,60,0,0,0,40,0
30,0,70,100,40,0,60,100,15
0,0,70,85,0,0,100,100,0
50,30,85,85,40,40,70,85,50
85,85,40,30,70,60,50,15,85
85,70,70,60,85,85,40,30,50
100,100,30,15,100,100,0,15,50
100,100,0,0,85,85,50,50,100
85,85,50,15,85,85,0,15,85
85,85,40,40,60,70,30,30,60
60,50,60,20,85,90,40,20,80
0,30,60,70,NA,50,NA,50,15
85,60,85,60,70,70,70,NA,60
60,85,50,30,50,70,50,50,50
15,15,70,60,30,30,70,100,70
30,40,60,70,50,30,70,40,60
70,70,60,70,85,100,30,50,100
0,15,60,70,0,0,100,100,0
100,60,50,40,100,60,50,15,40
40,40,60,40,0,15,60,60,50
15,30,100,70,0,30,100,NA,50
15,15,100,100,40,50,100,100,50
60,60,50,0,50,0,0,0,40
60,40,40,40,40,50,50,60,30
75,100,75,15,50,85,50,0,15
100,100,0,25,60,100,50,25,60
100,100,NA,NA,NA,NA,NA,NA,0
100,100,0,0,NA,NA,NA,NA,100
100,100,50,15,60,50,50,50,85
100,100,0,0,100,100,0,0,70
30,40,70,60,30,40,60,50,15
60,70,40,15,85,70,50,50,50
0,0,100,100,0,0,100,100,0
100,100,50,70,NA,NA,NA,NA,NA
85,85,20,30,85,80,15,15,50
50,15,40,60,50,30,35,50,50
15,15,85,85,15,15,85,85,50
50,40,50,50,50,40,NA,NA,50
85,85,15,40,NA,NA,NA,NA,100
60,85,0,0,NA,60,NA,50,85
30,40,70,60,15,30,85,70,40
85,85,15,15,50,85,0,0,50
100,100,0,40,70,60,60,30,70
40,40,50,60,40,40,NA,50,50
0,0,85,100,0,0,85,85,0
0,30,50,85,0,15,70,70,0
100,NA,0,NA,50,NA,NA,NA,NA
60,70,50,40,NA,50,NA,60,50
40,60,15,50,15,50,NA,50,30
30,30,15,60,NA,50,NA,50,50
100,100,50,40,100,100,NA,50,0
100,100,0,0,NA,50,NA,50,50
85,95,15,0,85,70,NA,0,0
40,0,60,60,60,70,50,60,30
30,50,60,50,NA,50,NA,50,0
50,30,60,40,50,30,50,40,40
70,60,50,51,50,50,40,50,0
40,NA,50,NA,50,NA,50,NA,NA
85,85,50,15,60,70,NA,50,50
60,85,30,30,50,85,0,40,100
25,0,90,95,20,0,NA,50,0
0,80,NA,50,0,50,NA,50,50
60,70,40,50,50,70,60,50,50
60,40,40,30,10,20,75,70,25
40,40,40,50,40,60,40,50,70
15,NA,100,NA,30,NA,40,NA,NA
85,85,0,15,85,85,30,30,50
50,60,NA,50,NA,0,NA,50,0
70,60,50,50,50,50,70,60,0
85,100,40,50,85,100,50,50,100
0,30,50,70,40,NA,50,NA,50
100,100,0,0,100,100,15,40,70
0,30,85,70,0,15,100,60,50
60,70,70,70,40,40,85,70,85
85,85,15,40,70,70,35,40,70
70,85,60,40,NA,50,NA,50,50
70,85,85,70,40,60,NA,50,50
40,40,85,85,30,30,70,70,60
30,40,85,85,40,50,50,50,50
50,50,50,NA,NA,NA,NA,NA,50
100,100,0,0,100,100,0,0,50
70,70,30,40,60,60,15,15,50
40,40,85,75,40,25,60,50,3
85,75,50,25,70,50,50,25,25
85,100,15,0,60,100,50,50,85
15,50,50,75,15,50,50,50,75
70,70,40,60,40,50,40,80,50
0,0,85,100,0,0,100,100,15
40,15,60,85,50,50,50,50,50
40,45,60,45,15,15,15,15,85
15,30,85,85,0,15,100,90,30
0,15,100,100,0,0,90,100,50
60,70,60,70,50,30,70,70,100
85,NA,15,NA,50,NA,15,NA,NA
30,30,70,70,0,15,85,70,50
30,70,40,40,50,70,40,50,60
100,100,15,0,85,85,0,0,100
85,100,0,0,70,100,30,0,100
85,100,60,50,85,100,60,15,100
100,100,50,60,85,85,70,60,50
85,85,40,40,60,70,50,50,50
50,60,85,70,60,70,85,70,15
0,0,100,85,0,0,85,85,50
70,60,50,40,85,100,50,50,50
85,85,70,40,85,85,NA,NA,50
100,100,0,0,NA,NA,NA,NA,60
70,85,60,60,50,60,NA,50,85
50,50,NA,85,NA,50,NA,50,100
60,60,60,70,15,50,85,85,15
70,85,70,50,70,0,100,60,0
100,100,15,14,95,95,15,30,70
85,60,40,40,NA,NA,NA,NA,50
85,85,30,15,50,50,0,70,0
60,70,50,50,60,60,60,60,70
100,100,40,30,85,100,40,15,85
100,100,0,0,50,100,50,50,50
85,85,0,15,70,70,0,15,50
78,70,30,10,55,50,35,10,100
85,NA,0,NA,50,NA,NA,NA,NA
85,70,15,50,NA,50,NA,50,50
100,100,NA,0,NA,NA,NA,NA,50
50,85,15,50,50,75,30,65,100
50,60,40,50,30,50,50,60,50
100,100,15,0,85,100,15,0,60
100,100,15,40,4,70,3,40,50
100,100,50,0,100,100,50,15,85
100,100,30,40,50,50,NA,NA,0
100,NA,30,NA,85,NA,40,NA,NA
85,85,50,50,50,50,50,50,50
60,60,60,60,NA,50,50,NA,50
40,50,100,100,30,50,85,70,50
70,100,43,30,NA,70,NA,40,100
70,85,0,0,60,70,0,0,100
85,100,50,0,50,85,50,NA,0
40,0,85,85,50,50,50,85,50
40,85,50,50,60,70,40,50,50
85,85,70,60,NA,60,NA,50,50
100,100,0,15,85,100,15,NA,0
85,60,30,40,40,60,50,60,0
85,100,15,15,70,85,0,0,70
85,85,60,60,0,60,0,60,15
85,100,0,15,85,85,40,0,50
85,85,50,50,50,60,NA,NA,50
60,100,30,30,NA,70,NA,40,85
100,70,0,50,85,70,0,50,50
100,100,15,15,85,85,0,0,85
100,100,70,15,40,100,50,15,50
70,85,50,50,60,70,NA,50,50
70,70,30,70,50,70,40,40,85
85,85,40,30,70,15,30,50,40
100,100,40,15,85,85,NA,15,60
50,70,100,70,50,70,50,70,60
60,NA,70,NA,NA,NA,NA,NA,NA
60,70,40,40,70,70,60,40,50
50,70,85,60,0,15,85,85,50
100,100,0,50,50,NA,50,NA,50
85,100,60,60,40,70,40,40,100
85,85,85,100,NA,85,NA,85,0
100,85,40,50,100,85,40,NA,60
85,100,0,0,NA,NA,NA,NA,100
100,100,40,40,70,70,NA,NA,85
60,40,85,85,50,40,60,60,100
60,85,40,50,30,70,NA,60,30
95,100,0,0,NA,NA,NA,NA,50
85,100,30,50,85,85,30,60,50
70,85,15,15,30,85,0,0,70
60,70,60,85,50,50,50,NA,60
100,85,0,50,NA,70,NA,50,50
85,100,0,40,70,85,60,40,100
15,15,70,70,30,50,70,50,0
100,100,50,40,70,50,NA,NA,70
60,86,15,40,50,NA,50,40,60
60,85,60,50,NA,60,NA,50,60
60,60,50,40,NA,60,NA,50,50
85,NA,0,NA,100,NA,0,NA,NA
70,70,50,0,70,60,NA,50,0
70,85,50,50,70,70,50,50,40
100,100,50,0,100,100,50,0,0
85,85,40,40,70,70,30,30,70
100,100,0,0,70,40,50,60,50
100,100,0,0,85,100,15,0,50
100,100,15,15,85,85,0,15,40
100,100,0,0,100,100,0,0,100
50,85,50,50,50,85,50,60,70
100,100,40,50,100,85,50,50,50
85,85,30,40,50,70,40,40,30
100,100,0,0,60,60,NA,NA,50
100,85,0,50,85,85,0,60,0
100,100,50,50,85,100,NA,50,50
0,50,0,30,50,60,50,NA,50
85,85,30,0,85,85,15,15,50
100,100,15,30,70,75,15,65,30
85,85,60,0,NA,85,NA,50,50
100,85,15,50,85,85,15,50,50
85,85,30,40,70,70,50,50,60
85,85,0,15,70,70,70,15,50
100,100,50,0,85,85,NA,50,60
100,100,0,50,85,85,15,50,70
100,100,30,30,100,100,30,15,50
100,100,15,15,100,100,15,30,70
100,100,0,15,50,85,NA,40,50
100,100,0,0,100,100,0,50,70
100,100,40,30,100,100,0,15,50
85,85,15,15,100,100,0,40,50
100,100,15,30,70,85,50,40,50
100,100,30,30,85,100,70,NA,70
30,0,30,0,50,0,50,NA,70
100,100,30,30,100,100,30,40,100
100,100,30,15,85,70,15,70,50
70,70,70,40,60,50,40,40,0
100,85,50,15,85,85,30,20,60
100,100,50,50,50,85,50,50,50
70,NA,40,NA,NA,NA,50,NA,NA
100,100,50,50,85,100,NA,50,100
70,85,30,40,60,60,50,40,50
100,100,30,50,85,100,NA,70,60
100,100,0,60,97,85,0,70,70
85,100,40,15,60,70,42,50,30
100,100,50,50,100,100,50,50,70
85,100,0,60,70,85,0,50,50
100,100,40,40,100,85,40,60,40
100,NA,50,NA,100,NA,70,NA,NA
70,85,15,50,70,85,50,50,50
100,100,30,40,85,60,40,50,30
100,100,0,0,70,85,50,50,50
100,100,50,50,85,100,NA,50,85
100,85,15,15,15,NA,15,NA,0
85,60,60,50,70,50,50,60,50
85,85,70,50,50,70,NA,60,70
100,NA,0,NA,85,NA,15,NA,NA
85,85,50,30,60,70,40,50,0
100,NA,0,NA,NA,NA,NA,NA,NA
80,100,1,15,80,85,1,30,50
100,85,15,15,85,85,0,15,0
100,100,30,40,100,100,20,40,0
70,85,60,40,NA,40,60,60,50
100,100,0,0,85,NA,0,NA,50
85,100,0,40,50,70,0,30,50
100,100,0,0,100,100,50,30,60
100,100,50,50,100,100,60,50,85
100,100,0,0,100,100,0,0,60
70,85,60,60,60,70,50,55,85
100,100,0,0,100,100,0,0,70
85,70,40,30,70,60,40,60,50
100,100,30,15,85,85,15,15,100
70,85,15,15,70,85,30,15,85
85,100,50,40,50,50,60,NA,50
70,100,NA,50,NA,NA,NA,NA,NA
100,100,0,0,100,85,NA,50,50
100,100,0,0,100,85,NA,0,100
100,100,0,0,50,60,NA,50,100
40,60,50,60,50,NA,50,NA,50
0,0,100,100,0,0,100,100,0
85,85,60,60,50,60,NA,50,70
15,30,40,60,50,50,NA,NA,50
50,70,50,0,NA,15,50,15,15
100,100,50,70,30,40,50,40,30
85,100,0,15,50,60,60,50,100
85,100,60,60,70,85,50,70,100
50,85,85,50,50,85,85,50,50
70,70,50,60,50,NA,50,50,50
40,85,70,70,50,60,50,50,70
70,85,0,40,70,70,0,30,85
70,NA,40,NA,70,NA,40,NA,NA
50,NA,50,NA,NA,NA,NA,NA,NA
30,50,60,50,50,50,50,50,70
0,15,70,85,0,15,50,60,30
85,70,0,60,70,70,0,50,60
90,NA,25,NA,85,NA,30,NA,NA
70,NA,0,NA,70,NA,15,NA,NA
85,85,40,15,70,70,50,60,85
100,100,0,30,90,85,0,50,50
100,NA,50,NA,85,NA,0,NA,NA
85,85,50,50,70,70,50,40,60
15,70,0,40,15,60,NA,40,NA
100,100,0,0,100,100,0,60,50
80,85,25,0,80,85,NA,NA,70
70,85,0,50,85,70,0,30,70
50,85,30,50,40,75,NA,60,40
100,100,60,50,85,85,50,60,0
100,100,0,50,100,100,0,50,50
100,100,0,15,85,85,0,15,70
85,85,62,30,85,85,50,NA,85
70,100,50,50,60,100,50,NA,50
100,100,0,15,85,100,NA,0,50
100,85,50,15,70,85,40,NA,50
100,100,0,50,15,35,NA,30,20
85,100,40,15,85,85,40,70,0
100,100,50,70,85,85,50,50,85
100,100,30,30,85,100,15,0,100
85,100,40,60,NA,NA,NA,NA,30
100,NA,0,NA,100,NA,50,NA,NA
50,NA,50,NA,50,NA,50,NA,NA
85,50,NA,50,70,50,NA,50,50
70,85,40,40,60,70,50,50,40
60,85,40,60,50,60,50,NA,70
85,85,70,50,15,70,50,60,85
60,70,0,20,60,50,0,NA,50
80,85,50,40,NA,60,40,40,0
60,50,85,40,0,40,85,70,20
85,85,15,15,70,70,0,15,50
85,85,60,60,30,60,0,30,40
85,100,50,40,30,50,NA,50,100
100,100,15,60,70,85,50,70,50
40,30,100,85,50,30,NA,70,85
70,85,70,70,50,50,50,50,85
70,85,60,50,70,40,40,50,50
85,60,NA,50,NA,60,50,60,50
15,15,50,70,15,50,NA,50,50
0,30,85,100,0,30,70,85,0
100,100,15,15,70,85,NA,NA,NA
100,100,0,0,60,0,0,0,NA
0,0,50,85,0,0,60,85,0
0,40,70,85,15,0,85,70,70
70,85,50,50,50,50,50,50,50
100,100,15,15,NA,50,NA,50,100
70,85,0,15,50,40,50,50,85
100,100,0,0,80,85,20,0,100
85,70,50,40,NA,60,NA,50,50
85,50,85,50,NA,50,NA,50,50
90,100,50,NA,NA,50,NA,NA,50
85,100,50,0,85,100,0,85,85
100,100,0,15,70,70,NA,NA,100
100,90,0,0,100,100,0,0,50
100,100,30,30,NA,70,60,60,60
50,0,70,85,50,50,NA,NA,0
70,100,30,30,70,85,15,0,50
100,100,50,70,NA,60,NA,70,100
100,100,0,0,100,85,0,0,60
NA,100,NA,50,NA,100,NA,50,70
70,60,30,40,NA,60,NA,NA,70
100,85,70,70,NA,70,NA,70,50
100,100,0,0,50,100,60,50,70
100,100,0,0,100,70,NA,0,100
60,60,40,50,NA,60,NA,50,50
100,100,50,0,NA,NA,NA,NA,100
100,100,0,0,100,100,0,0,100
70,70,50,50,60,60,40,60,50
85,85,50,40,70,70,50,40,60
85,100,40,60,40,70,NA,60,85
85,85,0,15,70,85,0,0,85
100,100,15,15,100,100,0,0,85
70,70,30,30,50,50,NA,50,50
85,85,30,15,70,85,30,30,85
100,85,0,40,70,70,15,30,60
85,NA,40,NA,50,NA,NA,NA,NA
70,70,40,15,60,70,40,50,85
40,60,70,60,40,60,50,50,70
60,40,50,0,50,30,50,50,60
30,NA,60,NA,NA,NA,NA,NA,NA
100,85,30,50,85,85,30,40,60
70,85,40,60,85,85,40,60,85
85,100,30,50,60,70,15,40,50
70,70,60,40,30,40,30,85,40
100,100,50,60,85,85,50,70,50
0,15,70,50,0,50,50,85,50
85,95,40,55,70,75,30,30,100
85,90,30,0,50,85,50,50,60
30,30,30,30,40,60,30,40,0
